candidate_a,candidate_b,segment,p_mean_daily_gt0_mean,p_mean_daily_gt0_min,p_cagr_gt0_mean,p_sharpe_gt0_mean,boot_mean_daily_diff_p50,boot_cagr_diff_p50,boot_sharpe_diff_p50,a_cagr_discovery,b_cagr_discovery,a_sharpe_discovery,b_sharpe_discovery,a_mdd_discovery,b_mdd_discovery,meaningful_advantage_a_over_b,a_cagr_pre,b_cagr_pre,a_sharpe_pre,b_sharpe_pre,a_mdd_pre,b_mdd_pre
S_D1_VOLCL5_20_LOW_F1,S_D1_ATR10_HI_Q60,discovery,0.57,0.551,0.517,0.43133333333333335,0.00013635411274759911,0.021286076866567916,-0.09148019977917433,0.7084469947773184,0.6506745863927605,1.2668027312502885,1.3126941050337617,-0.5161792419317945,-0.4456532627426194,,,,,,,
S_D1_VOLCL5_20_LOW_F1,S_D1_ATR10_HI_Q60,pre_reserve,0.7088333333333333,0.7055,0.6416666666666666,0.5388333333333333,0.00029533546807221226,0.10881131414865726,0.038516413446022524,,,,,,,False,0.57726986644108,0.45774717103651863,1.1701266499064278,1.1145823750332366,-0.5161792419317945,-0.4456532627426194
S_D1_VOLCL5_20_LOW_F1,S_D1_RET40_HI_Q75,discovery,0.7999999999999999,0.778,0.701,0.48150000000000004,0.0006210752752746047,0.22560702291182624,-0.028823617155537513,0.7084469947773184,0.45755419849823786,1.2668027312502885,1.2629426392463712,-0.5161792419317945,-0.25192253866759173,,,,,,,
S_D1_VOLCL5_20_LOW_F1,S_D1_RET40_HI_Q75,pre_reserve,0.7935,0.7865,0.6881666666666666,0.4426666666666667,0.0004717870793781104,0.15247980920258009,-0.0679050499699713,,,,,,,False,0.57726986644108,0.4172328986266203,1.1701266499064278,1.2343890228465886,-0.5161792419317945,-0.25192253866759173
S_D1_VOLCL5_20_LOW_F1,S_H4_RANGE48_HI_Q60,discovery,0.7803333333333334,0.771,0.7105,0.6106666666666667,0.0005365087881240475,0.21848278660724518,0.14827922253469925,0.7084469947773184,0.46965590989449213,1.2668027312502885,1.116576364353919,-0.5161792419317945,-0.3357122645809181,,,,,,,
S_D1_VOLCL5_20_LOW_F1,S_H4_RANGE48_HI_Q60,pre_reserve,0.7901666666666668,0.777,0.7231666666666667,0.6248333333333334,0.00043982190118340396,0.175213251162074,0.1438406539277098,,,,,,,True,0.57726986644108,0.40672675077072684,1.1701266499064278,1.0510920919043976,-0.5161792419317945,-0.3357122645809181
S_D1_VOLCL5_20_LOW_F1,L2_VOLCL_RANGE48_Q60,discovery,0.7578333333333332,0.7545,0.6076666666666667,0.19716666666666668,0.0003923529466510497,0.08944968043385866,-0.34631631524976264,0.7084469947773184,0.5972469865380323,1.2668027312502885,1.5884643808859455,-0.5161792419317945,-0.2336924768435109,,,,,,,
S_D1_VOLCL5_20_LOW_F1,L2_VOLCL_RANGE48_Q60,pre_reserve,0.8254999999999999,0.817,0.6801666666666666,0.271,0.0004100447999977315,0.11165344158315316,-0.21695349714423892,,,,,,,False,0.57726986644108,0.46751120610206076,1.1701266499064278,1.4073077894249568,-0.5161792419317945,-0.2336924768435109
S_H4_RANGE48_HI_Q60,S_H4_RET48_HI_Q55,discovery,0.6158333333333333,0.6105,0.645,0.6880000000000001,0.00010365505205300056,0.06908524222883383,0.14752840394858702,0.46965590989449213,0.40196447580956485,1.116576364353919,0.9728050121419393,-0.3357122645809181,-0.5502163342174775,,,,,,,
S_H4_RANGE48_HI_Q60,S_H4_RET48_HI_Q55,pre_reserve,0.7115,0.703,0.7338333333333334,0.7686666666666667,0.0001565230969052382,0.08989326310397412,0.19224156131703488,,,,,,,True,0.40672675077072684,0.30854511533041706,1.0510920919043976,0.8439312355528377,-0.3357122645809181,-0.5502163342174775
L2_VOLCL_RANGE48_Q60,L2_VOLCL_RET48_Q55,discovery,0.8513333333333334,0.8375,0.8838333333333334,0.955,0.0002600589002958007,0.16349273350793403,0.4313872446417812,0.5972469865380323,0.435664838402571,1.5884643808859455,1.1635858562331969,-0.2336924768435109,-0.281719807331685,,,,,,,
L2_VOLCL_RANGE48_Q60,L2_VOLCL_RET48_Q55,pre_reserve,0.9461666666666667,0.9445,0.9605,0.9861666666666666,0.00033128008885276763,0.17914897153770679,0.49801963460774545,,,,,,,True,0.46751120610206076,0.281572662657116,1.4073077894249568,0.8965142843896035,-0.2336924768435109,-0.3247900334265238
L2_VOLCL_RANGE48_Q60,S_H4_RANGE48_HI_Q60,discovery,0.6468333333333334,0.628,0.7321666666666666,0.9178333333333334,0.00016432830225754076,0.14215657125509096,0.4933142602964565,0.5972469865380323,0.46965590989449213,1.5884643808859455,1.116576364353919,-0.2336924768435109,-0.3357122645809181,,,,,,,
L2_VOLCL_RANGE48_Q60,S_H4_RANGE48_HI_Q60,pre_reserve,0.5575000000000001,0.54,0.668,0.888,4.568262029963795e-05,0.07030407497809081,0.3671588408855508,,,,,,,False,0.46751120610206076,0.40672675077072684,1.4073077894249568,1.0510920919043976,-0.2336924768435109,-0.3357122645809181
S_D1_TAKER10_LOW_ABS048,L2_TAKER10_RANGE48_ABS060,discovery,0.989,0.983,0.9743333333333334,0.8643333333333333,0.0004054263816584908,0.1590069391035547,0.4927732999797571,0.25046933452401543,0.09138590394001933,1.2236375905063257,0.8163371806757087,-0.19238151644209467,-0.06710660541345947,,,,,,,
