bars,days,cagr,sharpe_daily,max_drawdown,trade_count,exposure,win_rate,mean_trade_return,median_trade_return,mean_holding_days,median_holding_days,top5_winner_profit_share,bottom_tail_trade_p10,total_return,positive_fold_share,worst_fold_cagr,candidate_id,segment
531,531,-0.013096968577772983,0.06909244037511843,-0.1720717319986681,8,0.1111111111111111,0.625,0.0009766200877167341,0.024713105609237673,7.375,7.5,1.0,-0.09714231633006222,-0.018983639057292168,0.6666666666666666,-0.37881654762000705,S_D1_ATR10_HI_Q60,reserve
531,531,0.29234231012133294,0.9791025513557006,-0.21135694099072866,51,0.5932203389830508,0.6078431372549019,0.00937251079174537,0.008007546160819334,6.176470588235294,3.0,0.49753631339055215,-0.043649965295645465,0.4518460382303058,0.6666666666666666,-0.3930403507673781,S_D1_VOLCL5_20_LOW_F1,reserve
531,531,0.1524933738620471,0.9527470692131468,-0.08467932812394541,5,0.10922787193973635,0.6,0.04639719709004127,0.007282272247366217,11.6,3.0,1.0,-0.0056069542670359905,0.2291641469036101,1.0,0.0,S_D1_RET40_HI_Q75,reserve
531,531,-0.040127160823936525,0.012536011317053631,-0.33378960372276834,20,0.3446327683615819,0.55,0.0003242861291617272,0.010800966053134964,9.15,8.5,0.7533243076044501,-0.07106756462803075,-0.05780172835856323,0.6666666666666666,-0.6691329570673292,S_D1_TAKER10_LOW_ABS048,reserve
3195,533,0.016832624043694233,0.19273690548700737,-0.2778210586782811,98,0.39311424100156495,0.3877551020408163,0.001751276927189195,-0.0025773585430544643,2.136054421768708,0.5833333333333333,0.5626902867513074,-0.024779190887457503,0.024658079679450218,0.3333333333333333,-0.34844923332368416,S_H4_RET48_HI_Q55,reserve
3195,533,-0.20244164956001476,-0.6924766711413641,-0.5137081420771814,123,0.3727699530516432,0.24390243902439024,-0.0011646151938508756,-0.006413035474385209,1.613821138211382,0.5,0.5488655266626441,-0.025296693092387332,-0.28113974045421974,0.3333333333333333,-0.663617677948874,S_H4_RANGE48_HI_Q60,reserve
3195,533,-0.2975328519035415,-2.8833656984462275,-0.4102302833649628,100,0.07543035993740219,0.35,-0.004054577100399533,-0.002484271725993581,0.4016666666666667,0.3333333333333333,0.4062851136506659,-0.016433631412464123,-0.4027099711497778,0.0,-0.5603797941405828,S_H4_TAKER6_HI_ABS052,reserve
3195,533,-0.06025296841208172,-0.21415274304376192,-0.18398695780296415,85,0.23943661971830985,0.43529411764705883,0.00015550237548886829,-0.002493994027090607,1.5,0.6666666666666666,0.4421191641593132,-0.020887492785470772,-0.08669552266296499,0.3333333333333333,-0.3603559519921776,L2_VOLCL_RET48_Q55,reserve
3195,533,-0.2497082725353975,-1.3070323080409623,-0.4077794577644427,102,0.23380281690140844,0.30392156862745096,-0.002898832632989314,-0.006195923280724325,1.2205882352941178,0.5,0.4562013365874537,-0.024719204205828526,-0.34245337185627,0.3333333333333333,-0.659356779531548,L2_VOLCL_RANGE48_Q60,reserve
3195,533,0.022192078291053186,0.22110170693936018,-0.17660298358127935,37,0.10579029733959311,0.3783783783783784,0.0023641903789497036,-0.002988975205446054,1.5225225225225227,0.8333333333333334,0.7089580644930501,-0.02307062011309897,0.0325487134182465,0.5,-0.25984196829323325,L2_TAKER10_RANGE48_ABS060,reserve
