time_iso,h4_close_ms,d1_close_ms,target_exposure,entry_reason,exit_reason,flags_json
2023-03-30T07:59:59Z,1680163199999,1680134399999,0.293250,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-04-04T11:59:59Z,1680609599999,1680566399999,0.510845,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-04-09T19:59:59Z,1681070399999,1680998399999,0.653480,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-04-10T07:59:59Z,1681113599999,1681084799999,0.923989,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-04-10T19:59:59Z,1681156799999,1681084799999,0.951656,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-04-17T07:59:59Z,1681718399999,1681689599999,0.000000,,trailing_stop,"{""has_orders"": false, ""signal_reason"": ""trailing_stop""}"
2023-04-18T11:59:59Z,1681819199999,1681775999999,0.350000,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-04-18T23:59:59Z,1681862399999,1681775999999,0.540744,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-04-19T23:59:59Z,1681948799999,1681862399999,0.000000,,emergency_dd,"{""has_orders"": false, ""signal_reason"": ""emergency_dd""}"
2023-04-22T15:59:59Z,1682179199999,1682121599999,0.350000,vdo_dip_buy,,"{""has_orders"": false, ""signal_reason"": ""vdo_dip_buy""}"
2023-04-23T03:59:59Z,1682222399999,1682207999999,0.613897,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-04-23T15:59:59Z,1682265599999,1682207999999,0.735869,vdo_trend,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend""}"
2023-04-26T11:59:59Z,1682510399999,1682467199999,0.828705,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-05-01T15:59:59Z,1682956799999,1682899199999,0.000000,,trailing_stop,"{""has_orders"": false, ""signal_reason"": ""trailing_stop""}"
2023-05-04T07:59:59Z,1683187199999,1683158399999,0.255000,vdo_trend,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend""}"
2023-05-17T19:59:59Z,1684353599999,1684281599999,0.481549,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-05-18T07:59:59Z,1684396799999,1684367999999,0.679830,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-05-23T03:59:59Z,1684814399999,1684799999999,0.792870,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-05-28T03:59:59Z,1685246399999,1685231999999,0.868522,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-05-28T15:59:59Z,1685289599999,1685231999999,0.968971,vdo_trend_accel,,"{""has_orders"": false, ""signal_reason"": ""vdo_trend_accel""}"
2023-06-15T07:59:59Z,1686815999999,1686787199999,0.000000,,emergency_dd,"{""has_orders"": false, ""signal_reason"": ""emergency_dd""}"
