time_iso,side,qty,est_fill_price,scenario,reason
2023-03-30T08:00:00Z,BUY,0.10208877,28740.80,base,vdo_trend_accel
2023-04-04T12:00:00Z,BUY,0.07760396,28305.07,base,vdo_trend_accel
2023-04-09T20:00:00Z,BUY,0.05068929,28155.89,base,vdo_trend_accel
2023-04-10T08:00:00Z,BUY,0.09471923,28300.13,base,vdo_trend_accel
2023-04-10T20:00:00Z,BUY,0.00882407,29189.10,base,vdo_trend_accel
2023-04-17T08:00:00Z,SELL,0.33392531,29821.89,base,trailing_stop
2023-04-18T12:00:00Z,BUY,0.12030638,30397.30,base,vdo_trend_accel
2023-04-19T00:00:00Z,BUY,0.06546626,30396.72,base,vdo_trend_accel
2023-04-20T00:00:00Z,SELL,0.18577264,28781.26,base,emergency_dd
2023-04-22T16:00:00Z,BUY,0.12899989,27504.05,base,vdo_dip_buy
2023-04-23T04:00:00Z,BUY,0.09677446,27572.99,base,vdo_trend_accel
2023-04-23T16:00:00Z,BUY,0.04506448,27489.58,base,vdo_trend
2023-04-26T12:00:00Z,BUY,0.03000127,28968.24,base,vdo_trend_accel
2023-05-01T16:00:00Z,SELL,0.30084010,28155.15,base,trailing_stop
2023-05-04T08:00:00Z,BUY,0.09004322,29074.18,base,vdo_trend
2023-05-17T20:00:00Z,BUY,0.08766523,27400.15,base,vdo_trend_accel
2023-05-18T08:00:00Z,BUY,0.07304897,27406.68,base,vdo_trend_accel
2023-05-23T04:00:00Z,BUY,0.04169063,27381.72,base,vdo_trend_accel
2023-05-28T04:00:00Z,BUY,0.02828544,27202.20,base,vdo_trend_accel
2023-05-28T16:00:00Z,BUY,0.03690591,27287.17,base,vdo_trend_accel
2023-06-15T08:00:00Z,SELL,0.35763940,24970.07,base,emergency_dd
2023-06-16T00:00:00Z,BUY,0.11738537,25612.57,base,vdo_trend_accel
2023-06-20T04:00:00Z,BUY,0.07192655,26911.33,base,vdo_trend_accel
2023-06-20T16:00:00Z,BUY,0.04641617,27086.83,base,vdo_trend_accel
2023-06-21T04:00:00Z,BUY,0.02944330,28726.94,base,vdo_trend_accel
2023-06-21T16:00:00Z,BUY,0.02480842,29868.00,base,vdo_trend_accel
2023-06-22T04:00:00Z,BUY,0.01215915,30312.67,base,vdo_trend
2023-06-30T04:00:00Z,BUY,0.01287551,30761.97,base,vdo_trend_accel
2023-07-06T12:00:00Z,BUY,0.01350838,30863.52,base,vdo_trend_accel
2023-07-08T08:00:00Z,SELL,0.32852285,30176.76,base,trailing_stop
2023-07-09T16:00:00Z,BUY,0.11572510,30366.16,base,vdo_trend_accel
2023-07-10T20:00:00Z,BUY,0.06315813,30854.36,base,vdo_trend_accel
2023-07-11T08:00:00Z,BUY,0.07667583,30552.18,base,vdo_trend_accel
2023-07-11T20:00:00Z,BUY,0.02301143,30598.82,base,vdo_trend
2023-07-12T08:00:00Z,BUY,0.01565566,30756.91,base,vdo_trend_accel
2023-07-13T12:00:00Z,BUY,0.01499972,30560.79,base,vdo_trend_accel
2023-07-14T00:00:00Z,BUY,0.01332708,31471.53,base,vdo_trend_accel
2023-07-24T12:00:00Z,SELL,0.32255296,29253.89,base,emergency_dd
2023-07-28T16:00:00Z,BUY,0.10794946,29404.16,base,vdo_trend_accel
2023-07-29T04:00:00Z,BUY,0.10113047,29388.06,base,vdo_trend_accel
2023-07-29T16:00:00Z,BUY,0.05525831,29308.45,base,vdo_trend_accel
2023-07-30T16:00:00Z,BUY,0.02888092,29365.50,base,vdo_trend_accel
2023-07-31T04:00:00Z,BUY,0.02179828,29438.18,base,vdo_trend_accel
2023-08-17T16:00:00Z,SELL,0.31501744,27918.66,base,emergency_dd
2023-08-18T08:00:00Z,BUY,0.11574504,26444.54,base,vdo_dip_buy
2023-08-19T16:00:00Z,BUY,0.12280791,26230.43,base,vdo_dip_buy
2023-08-20T04:00:00Z,BUY,0.11243788,26119.59,base,vdo_dip_buy
2023-08-31T20:00:00Z,SELL,0.35099083,26148.40,base,trailing_stop
2023-10-02T04:00:00Z,BUY,0.01553152,28142.01,base,vdo_trend_accel
2023-10-02T16:00:00Z,BUY,0.02328613,28041.72,base,vdo_trend
2023-10-08T04:00:00Z,BUY,0.07339301,28080.31,base,vdo_trend
2023-10-17T04:00:00Z,BUY,0.05740759,28285.55,base,vdo_trend
