calendar_year,trendvol_10_q80,dist_high_60_q60,n_obs_trendvol_10,n_obs_dist_high_60
2018,1.843908612844204,-0.037944095171816725,127,78
2019,1.094820607237605,-0.20869609942028697,492,443
2020,1.0384715029374725,-0.16773837929798063,857,808
2021,1.1772134581566194,-0.12317847756225972,1223,1174
2022,1.1581690117472765,-0.1175830443159923,1588,1539
2023,1.0403467999343037,-0.1390427208996062,1953,1904
2024,1.0641089857506871,-0.1100896373818464,2318,2269
2025,1.0867015373916644,-0.09813163795486249,2684,2635
2026,1.0772207904566133,-0.09384142723007918,3049,3000
