entry_date,exit_date,entry_open,exit_open,bars,approx_net_return_bidask
2019-02-21,2019-02-25,3969.74,3743.56,4,-0.058860187407648756
2019-03-24,2019-03-25,4006.01,3991.35,1,-0.005650191905343438
2019-04-02,2019-04-13,4144.54,5047.0,11,0.2153136618095337
2019-04-22,2019-04-25,5257.41,5415.0,3,0.027916943738612865
2019-05-06,2019-05-22,5773.18,7904.48,16,0.36643701273246854
2019-05-28,2019-05-30,8752.52,8646.5,2,-0.014086882894951858
2019-06-02,2019-06-04,8545.1,8115.66,2,-0.05215329310307726
2019-06-15,2019-06-28,8650.88,11329.99,13,0.3070754255454542
2019-06-29,2019-07-01,12407.06,10854.1,2,-0.12691536217980015
2019-08-06,2019-08-11,11830.0,11309.24,5,-0.04593033678071712
2019-09-09,2019-09-10,10381.24,10302.58,1,-0.009559992392486172
2019-11-03,2019-11-05,9289.85,9392.4,2,0.009018871783071258
2020-01-08,2020-01-09,8145.92,8054.72,1,-0.013171421601654076
2020-01-11,2020-01-12,8198.86,8020.01,1,-0.023768425854813424
2020-01-13,2020-01-17,8184.97,8720.15,4,0.06325705810493187
2020-01-31,2020-02-01,9511.52,9351.71,1,-0.01876616305960932
2020-02-03,2020-02-08,9331.59,9813.87,5,0.04958124693989663
2020-02-09,2020-02-11,9895.04,9851.74,2,-0.00636518864034874
2020-02-12,2020-02-16,10223.08,9904.46,4,-0.03310246333483957
2020-04-28,2020-04-29,7773.51,7738.58,1,-0.006482489673480529
2020-04-30,2020-05-10,8778.58,9539.1,10,0.08446250522759513
2020-07-24,2020-07-25,9603.27,9538.1,1,-0.008770673203725599
2020-07-26,2020-08-07,9700.42,11762.47,12,0.21015054620712936
2020-09-16,2020-09-22,10785.23,10417.22,6,-0.03605149137975039
2020-10-11,2020-11-02,11293.22,13761.49,22,0.2161274211858546
2020-11-05,2020-11-08,14144.01,14818.3,3,0.04557993150407902
2020-11-09,2020-11-10,15475.1,15328.41,1,-0.011458161421004864
2020-11-12,2020-11-16,15684.25,15957.0,4,0.015357309537777253
2020-11-18,2020-11-27,17659.38,17149.47,9,-0.03081504986724748
2020-12-07,2020-12-08,19358.67,19166.9,1,-0.011884365222171733
2020-12-18,2021-01-12,22797.15,35410.37,25,0.5501771059097307
2021-02-07,2021-02-19,39181.01,51552.61,12,0.31312612365576564
2021-02-20,2021-02-23,55906.0,54087.67,3,-0.03445779116243819
2021-03-10,2021-03-16,54874.67,55605.2,6,0.011288098849627781
2021-03-17,2021-03-19,56900.74,57641.0,2,0.010985677283514628
2021-04-05,2021-04-07,58202.01,57990.03,2,-0.005632867246409434
2021-04-14,2021-04-15,63575.01,62959.53,1,-0.01165982147282818
2021-07-27,2021-08-04,37241.33,38207.04,8,0.023881323726683723
2021-08-12,2021-08-17,45510.67,45901.3,5,0.006568110530764004
2021-09-06,2021-09-07,51756.88,52666.2,1,0.01553596018872927
2021-10-02,2021-10-03,48141.6,47634.89,1,-0.012502380589648032
2021-10-05,2021-10-17,49224.93,60875.57,12,0.23421080516540083
2021-10-18,2021-10-22,61528.32,62193.15,4,0.00878567726272994
2022-03-24,2022-04-03,42882.76,45810.99,10,0.06615011604779064
2022-10-27,2022-10-28,20771.61,20295.11,1,-0.024892132594905525
2022-10-30,2022-11-01,20809.68,20490.74,2,-0.01729390069720138
2023-01-08,2023-01-25,16943.83,22631.94,17,0.33303517201608734
2023-01-26,2023-01-27,23060.42,23009.65,1,-0.0041952109577068075
2023-01-28,2023-01-31,23074.16,22827.38,3,-0.01267171376332421
2023-02-21,2023-02-22,24843.89,24450.67,1,-0.017794012431728068
2023-03-18,2023-03-25,27395.13,27454.46,7,0.00016338429735274218
2023-03-26,2023-03-27,27462.96,27968.05,1,0.016356932399850033
2023-04-12,2023-04-18,30200.43,29430.27,6,-0.0274486733553706
2023-04-19,2023-04-20,30380.01,28797.1,1,-0.05399756824756341
2023-06-21,2023-07-02,28308.0,30585.9,11,0.07830964076195124
2023-09-20,2023-09-23,27210.25,26580.14,3,-0.02510881645068197
2023-10-02,2023-10-03,27992.58,27494.51,1,-0.019755381101494995
2023-10-05,2023-10-06,27778.57,27410.39,1,-0.01522562226874935
2023-10-07,2023-10-09,27931.1,27917.06,2,-0.0024996631589281337
2023-10-21,2023-11-04,29669.05,34716.78,14,0.16779660299860644
2023-11-07,2023-11-09,35046.09,35624.72,2,0.01447955358962294
2023-11-10,2023-11-15,36701.1,35551.2,5,-0.033266887603678685
2023-12-02,2023-12-12,38682.51,41253.41,10,0.0643307687219783
2024-01-09,2024-01-10,46951.04,46110.0,1,-0.019875339760905497
2024-02-08,2024-02-23,44349.6,51288.42,15,0.15414672588626832
2024-02-28,2024-03-10,57037.35,68313.28,11,0.1953007972858125
2024-03-11,2024-03-15,68955.88,71388.94,4,0.03321580052701467
2024-03-16,2024-03-17,69499.84,65300.64,1,-0.062297565133830446
2024-04-01,2024-04-03,71280.0,65463.99,2,-0.08342883253110522
2024-05-21,2024-05-23,71446.62,69166.62,2,-0.0338461783770182
2024-07-16,2024-07-19,64724.06,63987.92,3,-0.013348791655034997
2024-07-20,2024-07-25,66660.01,65376.01,5,-0.021221439939798747
2024-07-29,2024-07-30,68249.88,66784.68,1,-0.023423278166583184
2024-08-25,2024-08-27,64157.02,62834.0,2,-0.022578393721255252
2024-09-20,2024-09-24,62948.0,63339.99,4,0.004216759443136819
2024-09-25,2024-09-30,64262.7,65602.01,5,0.01880152954897718
2024-10-16,2024-10-24,67074.14,66668.65,8,-0.008031323188103623
2024-11-11,2024-11-24,80370.01,97672.4,13,0.21285601867724502
