window,strategy_id,scenario,sharpe,cagr_pct,mdd_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,total_return_pct
2019-01-01->2026-02-20,X0_E5EXIT,smart,1.7122,78.14,35.72,2.1876,188,45.21,1.9635,0.4448,6070.93
2019-01-01->2026-02-20,X0_E5EXIT,base,1.587,69.89,37.5,1.8636,188,43.09,1.7994,0.4448,4299.32
2019-01-01->2026-02-20,X0_E5EXIT,harsh,1.4545,61.6,40.97,1.5037,188,42.02,1.6519,0.4448,2977.9
2019-01-01->2026-02-20,X0E5_CHOP_STRETCH18,smart,1.7821,79.97,34.22,2.3373,168,47.62,2.0666,0.4002,6538.99
2019-01-01->2026-02-20,X0E5_CHOP_STRETCH18,base,1.6668,72.51,36.66,1.9781,168,45.83,1.901,0.4002,4806.49
2019-01-01->2026-02-20,X0E5_CHOP_STRETCH18,harsh,1.5448,64.96,39.13,1.6601,168,44.05,1.7502,0.4002,3465.7
2019-01-01->2026-02-20,X0E5_OVR_BROAD,smart,1.6881,74.71,36.24,2.0617,176,46.59,1.9088,0.4176,5271.9
2019-01-01->2026-02-20,X0E5_OVR_BROAD,base,1.5686,67.13,37.9,1.771,176,44.32,1.7631,0.4176,3813.3
2019-01-01->2026-02-20,X0E5_OVR_BROAD,harsh,1.4421,59.48,40.33,1.4748,176,42.61,1.6303,0.4176,2701.01
2019-01-01->2026-02-20,X0E5_OVR_NARROW,smart,1.7402,77.86,35.66,2.1831,173,46.82,1.9852,0.415,6002.11
2019-01-01->2026-02-20,X0E5_OVR_NARROW,base,1.6223,70.27,38.05,1.8467,173,45.09,1.83,0.415,4369.31
2019-01-01->2026-02-20,X0E5_OVR_NARROW,harsh,1.4975,62.61,40.47,1.5469,173,43.35,1.6884,0.415,3117.27
2019-01-01->2026-02-20,X0E5_RE6_IMPULSE,smart,1.7406,77.59,35.86,2.1636,171,46.2,2.1111,0.4064,5935.87
2019-01-01->2026-02-20,X0E5_RE6_IMPULSE,base,1.6237,70.09,37.34,1.877,171,44.44,1.9349,0.4064,4336.74
2019-01-01->2026-02-20,X0E5_RE6_IMPULSE,harsh,1.5,62.53,39.13,1.5978,171,43.27,1.7749,0.4064,3105.99
2019-01-01->2026-02-20,X0E5_OVR_NARROW_RE6,smart,1.7116,76.05,36.49,2.0839,174,46.55,1.9797,0.4155,5572.94
2019-01-01->2026-02-20,X0E5_OVR_NARROW_RE6,base,1.5931,68.49,38.05,1.8001,174,44.83,1.8244,0.4155,4047.5
2019-01-01->2026-02-20,X0E5_OVR_NARROW_RE6,harsh,1.4677,60.87,40.47,1.504,174,43.1,1.6826,0.4155,2879.95
