label,scenario,trades,trades_per_year,turnover_per_year,avg_days_held,median_days_held,pct_held_lt_3d,pct_held_lt_7d,avg_reentry_days,median_reentry_days,pct_reentry_le_7d,avg_trade_return_pct,win_rate,churn_score
candidate,harsh,4,16.054945,27.58,14.291667,10.416667,0.0,0.25,18.055556,14.666667,0.0,5.805972,0.5,442.795385
baseline,harsh,4,16.054945,27.58,14.291667,10.416667,0.0,0.25,18.055556,14.666667,0.0,5.805972,0.5,442.795385
