mode,label,cost_bps,score,score_delta_vs_baseline,cagr_pct,max_drawdown_mid_pct,sharpe,trades,turnover_per_year,h4_bars,d1_bars
quick,candidate,0.0,-1000000.0,0.0,177.13,12.34,3.0629,6,26.31,2736,456
quick,baseline,0.0,-1000000.0,0.0,177.13,12.34,3.0629,6,26.31,2736,456
quick,candidate,10.0,-1000000.0,0.0,173.47,12.43,3.0249,6,26.31,2736,456
quick,baseline,10.0,-1000000.0,0.0,173.47,12.43,3.0249,6,26.31,2736,456
quick,candidate,25.0,-1000000.0,0.0,171.09,12.3,2.9997,6,26.32,2736,456
quick,baseline,25.0,-1000000.0,0.0,171.09,12.3,2.9997,6,26.32,2736,456
quick,candidate,50.0,-1000000.0,0.0,162.21,12.47,2.9043,6,26.34,2736,456
quick,baseline,50.0,-1000000.0,0.0,162.21,12.47,2.9043,6,26.34,2736,456
quick,candidate,75.0,-1000000.0,0.0,153.63,12.63,2.8086,6,26.35,2736,456
quick,baseline,75.0,-1000000.0,0.0,153.63,12.63,2.8086,6,26.35,2736,456
quick,candidate,100.0,-1000000.0,0.0,116.38,12.84,2.3842,7,28.77,2736,456
quick,baseline,100.0,-1000000.0,0.0,116.38,12.84,2.3842,7,28.77,2736,456
