ledger_view,tested_window_max_removal_pct,base_terminal_value,base_cagr,base_sharpe,max_cliff_score_terminal,first_terminal_cliff_index,cliff_flag_terminal,max_cliff_score_cagr,first_cagr_cliff_index,cliff_flag_cagr,max_cliff_score_sharpe,first_sharpe_cliff_index,cliff_flag_sharpe,interpretation
native,19.77,253441.42,64.430043,1.175,3.6257,1,True,23.0616,6,True,4.2963,27,True,single-point collapse
unit_size,19.77,377552.27,74.82835,1.175,15.3927,1,True,4.9371,1,True,1.3738,0,False,single-point collapse
