removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,377552.27,74.82835,1.175,0.0,0.0,0.0
1,0.58,207012.35,59.389961,1.128597,170539.92,15.438389,0.046403
2,1.16,140201.57,50.114802,1.051643,66810.78,9.275159,0.076954
3,1.74,95974.55,41.612288,0.969755,44227.02,8.502514,0.081888
4,2.33,68178.06,34.354749,0.883858,27796.49,7.257539,0.085897
5,2.91,49441.02,27.874125,0.793459,18737.04,6.480624,0.090399
6,3.49,36374.18,21.976419,0.697557,13066.84,5.897706,0.095902
7,4.07,27397.93,16.772667,0.598031,8976.25,5.203752,0.099526
8,4.65,20946.17,12.047127,0.493271,6451.76,4.72554,0.10476
9,5.23,16091.57,7.593091,0.379176,4854.6,4.454036,0.114095
10,5.81,12690.53,3.733728,0.263925,3401.04,3.859363,0.115251
11,6.4,10111.13,0.17017,0.141319,2579.4,3.563558,0.122606
12,6.98,8382.04,-2.678751,0.030811,1729.09,2.848921,0.110508
13,7.56,7030.58,-5.275973,-0.080979,1351.46,2.597222,0.11179
14,8.14,5962.31,-7.64756,-0.193582,1068.27,2.371587,0.112603
15,8.72,5118.07,-9.791561,-0.304912,844.24,2.144001,0.11133
16,9.3,4426.5,-11.78392,-0.417915,691.57,1.992359,0.113003
17,9.88,3855.18,-13.639613,-0.532604,571.32,1.855693,0.114689
18,10.47,3375.4,-15.38749,-0.650405,479.78,1.747877,0.117801
19,11.05,2960.27,-17.078646,-0.775766,415.13,1.691156,0.125361
20,11.63,2604.39,-18.696623,-0.907849,355.88,1.617977,0.132083
21,12.21,2304.84,-20.210678,-1.043236,299.55,1.514055,0.135387
22,12.79,2066.1,-21.541761,-1.170264,238.74,1.331083,0.127028
23,13.37,1852.98,-22.844881,-1.307036,213.12,1.30312,0.136772
24,13.95,1662.76,-24.119969,-1.455254,190.22,1.275088,0.148218
25,14.53,1500.77,-25.30713,-1.605843,161.99,1.187161,0.150589
26,15.12,1365.33,-26.386113,-1.753283,135.44,1.078983,0.14744
27,15.7,1271.15,-27.191148,-1.862372,94.18,0.805035,0.109089
28,16.28,1189.15,-27.934309,-1.967757,82.0,0.743161,0.105385
29,16.86,1119.23,-28.603051,-2.065879,69.92,0.668742,0.098122
30,17.44,1054.22,-29.257315,-2.16737,65.01,0.654264,0.101491
31,18.02,993.69,-29.897886,-2.272638,60.53,0.640571,0.105268
32,18.6,942.13,-30.470194,-2.36963,51.56,0.572308,0.096992
33,19.19,895.52,-31.010794,-2.465269,46.61,0.5406,0.095639
34,19.77,855.91,-31.48929,-2.552028,39.61,0.478496,0.086759
