removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,remaining_net_pnl,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,253441.42,64.430043,1.175,243441.42,0.0,0.0,0.0
1,0.58,197170.27,58.199961,1.109935,187170.27,56271.15,6.230082,0.065065
2,1.16,143414.85,50.639047,1.038102,133414.85,53755.42,7.560914,0.071833
3,1.74,112365.5,45.089454,0.971606,102365.5,31049.35,5.549593,0.066496
4,2.33,81328.2,38.05022,0.902675,71328.2,31037.3,7.039234,0.068931
5,2.91,50317.73,28.220389,0.82702,40317.73,31010.47,9.829831,0.075655
6,3.49,20325.72,11.529995,0.786448,10325.72,29992.01,16.690394,0.040572
7,4.07,-8661.04,-100.0,0.681412,-18661.04,28986.76,111.529995,0.105036
8,4.65,-33423.74,-100.0,0.60196,-43423.74,24762.7,0.0,0.079452
9,5.23,-55919.17,-100.0,0.562663,-65919.17,22495.43,0.0,0.039297
10,5.81,-73465.52,-100.0,0.534827,-83465.52,17546.35,0.0,0.027836
11,6.4,-89784.87,-100.0,0.471564,-99784.87,16319.35,0.0,0.063263
12,6.98,-105837.71,-100.0,0.419633,-115837.71,16052.84,0.0,0.051931
13,7.56,-120082.44,-100.0,0.381538,-130082.44,14244.73,0.0,0.038095
14,8.14,-132862.17,-100.0,0.337294,-142862.17,12779.73,0.0,0.044244
15,8.72,-144831.76,-100.0,0.280247,-154831.76,11969.59,0.0,0.057047
16,9.3,-156177.8,-100.0,0.258147,-166177.8,11346.04,0.0,0.0221
17,9.88,-167131.73,-100.0,0.203977,-177131.73,10953.93,0.0,0.05417
18,10.47,-178027.38,-100.0,0.157139,-188027.38,10895.65,0.0,0.046838
19,11.05,-187266.25,-100.0,0.140104,-197266.25,9238.87,0.0,0.017035
20,11.63,-196326.96,-100.0,-0.060487,-206326.96,9060.71,0.0,0.200591
21,12.21,-205084.08,-100.0,-0.090367,-215084.08,8757.12,0.0,0.02988
22,12.79,-213068.57,-100.0,-0.258195,-223068.57,7984.49,0.0,0.167828
23,13.37,-220533.2,-100.0,-0.274753,-230533.2,7464.63,0.0,0.016558
24,13.95,-227165.87,-100.0,-0.302727,-237165.87,6632.67,0.0,0.027974
25,14.53,-233603.25,-100.0,-0.318862,-243603.25,6437.38,0.0,0.016135
26,15.12,-239866.1,-100.0,-0.352972,-249866.1,6262.85,0.0,0.03411
27,15.7,-244842.83,-100.0,-0.644474,-254842.83,4976.73,0.0,0.291502
28,16.28,-249656.41,-100.0,-0.659158,-259656.41,4813.58,0.0,0.014684
29,16.86,-253950.15,-100.0,-0.67818,-263950.15,4293.74,0.0,0.019022
30,17.44,-258234.9,-100.0,-0.855025,-268234.9,4284.75,0.0,0.176845
31,18.02,-262414.62,-100.0,-1.041421,-272414.62,4179.72,0.0,0.186396
32,18.6,-266397.34,-100.0,-1.072121,-276397.34,3982.72,0.0,0.0307
33,19.19,-270340.21,-100.0,-1.09358,-280340.21,3942.87,0.0,0.021459
34,19.77,-274240.41,-100.0,-1.131882,-284240.41,3900.2,0.0,0.038302
