candidate_label,n_threshold,skipped_trade_episode_id,skipped_trade_was_win,skipped_trade_return_pct,skipped_trade_pnl_usd,native_top10_flag,unit_size_top10_flag
,2,11,1,46.082022,9060.713597,0,1
,2,18,0,-2.477486,-586.69681,0,0
,2,21,0,-3.506286,-765.561497,0,0
,2,29,0,-5.635659,-1341.245884,0,0
,2,37,0,-4.17877,-1067.351222,0,0
,2,40,0,-1.145009,-281.199222,0,0
,2,46,0,-3.094097,-768.562837,0,0
,2,54,1,47.65338,28986.755957,1,1
,2,59,1,4.62788,3900.200696,0,0
,2,62,1,13.66472,10953.934427,0,0
,2,67,1,30.168591,31010.468332,1,1
,2,73,1,1.191136,1276.643217,0,0
,2,76,1,11.501257,12779.736357,0,0
,2,79,0,-5.257612,-6326.476912,0,0
,2,82,1,0.963582,879.308972,0,0
,2,85,0,-3.814733,-4000.552567,0,0
,2,90,1,2.378876,2078.767573,0,0
,2,94,0,-5.098208,-6299.04484,0,0
,2,97,0,-5.433084,-5744.303398,0,0
,2,103,0,-2.486741,-2683.979386,0,0
,2,108,0,-2.537147,-2792.058406,0,0
,2,111,0,-0.744587,-882.54104,0,0
,2,117,0,-1.193311,-1578.148966,0,0
,2,127,1,1.114791,1589.61378,0,0
,2,144,1,6.166557,8757.115928,0,0
,2,153,0,-4.319547,-9903.397151,0,0
,2,158,1,0.901651,1888.569129,0,0
,2,161,1,7.40913,17546.350472,1,0
,2,164,1,0.965419,2022.579638,0,0
,2,169,1,0.344022,452.694305,0,0
,3,19,0,-1.993392,-465.356118,0,0
,3,23,1,6.090815,1172.345399,0,0
,3,30,1,2.548915,523.139717,0,0
,3,38,0,-4.237869,-1033.606061,0,0
,3,47,0,-3.962348,-941.274798,0,0
,3,80,0,-0.195192,-381.700978,0,0
,3,86,1,0.162142,11.53066,0,0
,3,95,0,-3.666044,-4333.667123,0,0
,3,104,0,-3.167713,-3283.248018,0,0
,3,109,0,-1.525959,-1692.211447,0,0
,3,118,1,14.02321,16052.844912,0,0
,3,154,1,10.793502,22495.438556,1,0
,4,20,0,-1.0022,-244.457518,0,0
,4,39,0,-3.172528,-747.253792,0,0
,4,48,1,19.222683,4179.728918,0,0
,4,81,0,-1.386833,-1690.124963,0,0
,4,96,0,-5.385974,-6038.161506,0,0
,4,105,1,11.555361,10895.648606,0,0
,4,110,0,-0.194541,-341.724818,0,0
,5,21,0,-3.506286,-765.561497,0,0
,5,40,0,-1.145009,-281.199222,0,0
,5,82,1,0.963582,879.308972,0,0
,5,97,0,-5.433084,-5744.303398,0,0
,5,111,0,-0.744587,-882.54104,0,0
