branch_id,slow_period,e0_trade_id,entry_bar,exit_bar,entry_price_exec,exit_price_exec,bars_held,ATR_entry,MFE_R_final,MAE_R_final,realized_R,giveback_R,giveback_ratio,exit_reason,partial_exit_done,net_pnl_per_unit,gross_pnl_per_unit,cost_per_unit,time_from_peak_to_exit,entry_ER30_context_bin
E0,120,27,2800,2880,5037.45,5219.9,80,107.3484,5.2404,0.8146,1.4607,3.7797,0.7213,trail_stop,False,156.8066,182.45,25.6434,52.0,<0.10
E1,120,27,2800,2870,5037.45,5421.59,70,107.3484,5.2404,0.8146,3.3349,1.9055,0.3636,trail_stop,False,357.9924,384.14,26.1476,12.0,<0.10
E2,120,27,2800,2870,5037.45,5421.59,70,107.3484,5.2404,0.8146,3.3349,1.9055,0.3636,trail_stop,False,357.9924,384.14,26.1476,12.0,<0.10
E3,120,27,2800,2880,5037.45,5219.9,80,107.3484,5.2404,0.8146,1.1863,4.0541,0.7736,trail_stop,True,127.3471,152.9167,25.5695,52.0,<0.10
E4,120,27,2800,2870,5037.45,5421.59,70,107.3484,5.2404,0.8146,2.4357,2.8047,0.5352,trail_stop,True,261.471,287.3767,25.9057,12.0,<0.10
E5,120,27,2800,2880,5037.45,5219.9,80,107.3484,5.2404,0.8146,1.4607,3.7797,0.7213,trail_stop,False,156.8066,182.45,25.6434,52.0,<0.10
E0,120,28,2886,3007,5314.1,7344.03,121,107.6135,28.3598,1.2573,18.5691,9.7907,0.3452,trail_stop,False,1998.2847,2029.93,31.6453,68.0,<0.10
E1,120,28,2886,2932,5314.1,5641.19,46,107.6135,5.4445,1.2573,2.785,2.6595,0.4885,trail_stop,False,299.7018,327.09,27.3882,12.0,<0.10
E2,120,28,2886,2932,5314.1,5641.19,46,107.6135,5.4445,1.2573,2.785,2.6595,0.4885,trail_stop,False,299.7018,327.09,27.3882,12.0,<0.10
E3,120,28,2886,3007,5314.1,7344.03,121,107.6135,28.3598,1.2573,12.7058,15.654,0.552,trail_stop,True,1367.316,1397.38,30.064,68.0,<0.10
E4,120,28,2886,2932,5314.1,5641.19,46,107.6135,5.4445,1.2573,2.1831,3.2614,0.599,trail_stop,True,234.9274,262.1533,27.2259,12.0,<0.10
E5,120,28,2886,2980,5314.1,6839.83,94,107.6135,20.5149,1.2573,13.8955,6.6194,0.3227,trail_stop,False,1495.3452,1525.73,30.3848,8.0,<0.10
E0,120,29,3011,3090,7136.72,8269.54,79,312.403,6.2021,0.2136,3.5029,2.6992,0.4352,trail_stop,False,1094.3044,1132.82,38.5157,8.0,<0.10
E1,120,29,3011,3039,7136.72,7802.31,28,312.403,3.6439,0.2136,2.011,1.6329,0.4481,trail_stop,False,628.2424,665.59,37.3476,60.0,<0.10
E2,120,29,3011,3039,7136.72,7802.31,28,312.403,3.6439,0.2136,2.011,1.6329,0.4481,trail_stop,False,628.2424,665.59,37.3476,60.0,<0.10
E3,120,29,3011,3090,7136.72,8269.54,79,312.403,6.2021,0.2136,2.4741,3.7279,0.6011,trail_stop,True,772.9265,810.6367,37.7102,8.0,<0.10
E4,120,29,3011,3039,7136.72,7802.31,28,312.403,3.6439,0.2136,1.4796,2.1644,0.594,trail_stop,True,462.2185,499.15,36.9315,60.0,<0.10
E5,120,29,3011,3090,7136.72,8269.54,79,312.403,6.2021,0.2136,3.5029,2.6992,0.4352,trail_stop,False,1094.3044,1132.82,38.5157,8.0,<0.10
E0,120,30,3095,3114,8442.75,8115.82,19,209.2428,1.778,1.7298,-1.7603,3.5383,1.99,trail_stop,False,-368.3264,-326.93,41.3964,24.0,<0.10
E1,120,30,3095,3114,8442.75,8115.82,19,209.2428,1.778,1.7298,-1.7603,3.5383,1.99,trail_stop,False,-368.3264,-326.93,41.3964,24.0,<0.10
E2,120,30,3095,3114,8442.75,8115.82,19,209.2428,1.778,1.7298,-1.7603,3.5383,1.99,trail_stop,False,-368.3264,-326.93,41.3964,24.0,<0.10
