slow_period,branch_id,sharpe_med,cagr_med,mdd_med,mar_med,d_sharpe_mean,d_cagr_mean,d_mdd_mean,d_mar_mean,p_sharpe,p_cagr,p_mdd,p_mar,ci_sharpe,ci_cagr,ci_mdd,ci_mar,holm_best_p_raw,holm_best_p_adj
120,E0,1.2346212798995648,52.42107525594862,46.010309105287575,1.1302670887906516,,,,,,,,,,,,,,
120,E1,1.2417022971546703,50.88367898512233,44.33209321790545,1.1420586211282442,0.005843975655785344,-1.7288609841776443,1.666034116436809,0.015228449088273874,0.5181,0.4275,0.6123,0.5152,"[-0.29442476988930544, 0.299558609270464]","[-20.29552110358837, 15.652461935630363]","[-11.778224630418759, 15.007046527341636]","[-0.7476454911482352, 0.7956345185325873]",0.3877,0.7268
120,E2,1.2464529210714081,50.8013591200863,43.828717143422146,1.1540410212455747,0.009958706375052905,-1.849018564906062,2.144686490979528,0.02697126154715455,0.5295,0.4325,0.6366,0.5337,"[-0.3002003366147632, 0.31486079280064777]","[-20.984429019896474, 15.920888461202155]","[-11.847633589415329, 15.915718847251943]","[-0.7680803458608432, 0.8467769841865691]",0.3634,0.7268
120,E3,1.2281480840783496,38.5024339531237,35.92625138157935,1.0605584548617295,-0.006375141764349116,-15.261734621771335,9.896528592076686,-0.09933772998035467,0.4552,0.0207,0.9996,0.285,"[-0.1097867414102782, 0.09560746047624889]","[-37.80173229924826, -0.35037048757581835]","[4.535008125014233, 16.31515054638821]","[-0.5447906297490943, 0.17514557649729867]",0.0004,0.002
120,E4,1.1386415262834724,35.43311252886255,38.72852027928717,0.9144627123847798,-0.09418004148126792,-18.177921209923834,7.155643233061061,-0.24649670248766228,0.2889,0.0446,0.841,0.2528,"[-0.4304255914675186, 0.23838631900816515]","[-47.03578659800744, 2.2483000639407114]","[-7.793638796169488, 21.709595974872677]","[-1.1938076859181936, 0.43456657911884616]",0.159,0.4944
120,E5,1.315264797711455,56.773829818246,43.49100804510205,1.2980428875164667,0.08245387041771708,4.476245289565614,2.415974621541154,0.17735981867929082,0.8764,0.8462,0.7695,0.8518,"[-0.05413462307908499, 0.22513878618751573]","[-3.9213311517831335, 14.296216382645811]","[-4.310012311325485, 10.125631231574797]","[-0.16745128386190977, 0.6861606451714145]",0.1236,0.4944
144,E0,1.278496694971457,55.39829079692561,45.40039189645738,1.2276442606740243,,,,,,,,,,,,,,
144,E1,1.2117876381539379,49.732535048099734,45.23853754907424,1.0980163513515584,-0.06455069051323323,-5.895651971816781,-0.0026138893169853164,-0.12193904181750918,0.3367,0.2677,0.52,0.3616,"[-0.3675645503006283, 0.23195297705150533]","[-25.33250157534352, 12.050508760781096]","[-15.1559102753999, 13.329754810696764]","[-0.9642417745303926, 0.6468994706956939]",0.48,0.7923
144,E2,1.2984287627263185,54.36648901280195,42.22263533077425,1.283040851669702,0.016973385806107775,-1.4266606887715991,2.9693702436338447,0.07062067608784066,0.5482,0.452,0.6762,0.5717,"[-0.286767526999183, 0.3152222778814504]","[-20.75899815340366, 16.918513341900066]","[-11.616159795958875, 16.4079848295644]","[-0.7582705364467183, 0.962774962390191]",0.3238,0.7923
144,E3,1.2375047962201418,39.33328649617313,35.9780660822025,1.0892791084767253,-0.038778761407929054,-17.515446310130343,9.250003541696143,-0.16229100040581815,0.2279,0.0092,0.9997,0.1645,"[-0.14140886721463797, 0.06627846613798227]","[-41.097702879348425, -2.0146728823896978]","[3.7930230596890233, 15.696248805585652]","[-0.6538201881474889, 0.13203131227171908]",0.0003,0.0015
144,E4,1.0878387777817125,34.0989263690572,40.4096635819512,0.8447417247717321,-0.18635221356264114,-22.77036560321059,4.622945373341151,-0.4126052898688692,0.1476,0.0194,0.7359,0.1304,"[-0.544652842057362, 0.1642115937892999]","[-52.41518917572241, -1.0672382232867221]","[-12.338505861057076, 19.865705513354314]","[-1.4723310718368892, 0.30252817574841623]",0.2641,0.7923
144,E5,1.3733120188912797,60.85370428625305,42.7081774249172,1.433021627481893,0.09714064215878743,5.6506164905617435,2.6489931970324725,0.2218797631130967,0.9159,0.8929,0.7987,0.8959,"[-0.0388204557424567, 0.24071339966216054]","[-3.1210506122958592, 15.918710401201128]","[-3.7914876557474027, 10.329268996540884]","[-0.1341060594841887, 0.7755874275212368]",0.0841,0.3364
