branch_id,variant,cagr,sharpe,mdd,mar,trades
E3,partial_trigger=0.75,36.19457710624025,1.1812126171646622,31.104372559794157,1.163649163366367,189
E3,partial_trigger=1.25,37.59056186727274,1.1844599535774933,34.51008902719946,1.089262964162317,189
E3,partial_frac=0.25,42.313541458083016,1.2360744469851999,34.82365725361867,1.215080344660986,189
E3,partial_frac=0.50,31.05404425215341,1.2020292622397122,29.62662922473789,1.0481801360724374,189
E3,partial_trigger=0.75,39.21123480598232,1.2441352204191665,29.523042684052882,1.3281569662588537,180
E3,partial_trigger=1.25,38.588715309574376,1.1972799295301308,32.00820904050369,1.2055880808808646,180
E3,partial_frac=0.25,43.78655624392831,1.2576491573305157,33.12571993681307,1.3218295731368455,180
E3,partial_frac=0.50,31.01970794957023,1.1870567619353645,27.156807368787405,1.1422442825596149,180
E2,e2_slope=0.50,50.39448779495157,1.2299182410445775,37.74885243169099,1.3349939017654557,280
E2,e2_slope=1.00,54.65013707991011,1.318554912980174,33.68198256257775,1.6225332632476615,305
E2,e2_floor=1.25,54.97891702403284,1.3194445389369327,37.03006173804967,1.4847103797167074,312
E2,e2_floor=1.75,47.426445147566774,1.1822906796495771,37.47384964542216,1.26558775242779,283
E2,e2_slope=0.50,55.56138146769025,1.3085357034861143,37.26334794709496,1.4910464176910279,266
E2,e2_slope=1.00,57.542967320624314,1.3561093019556483,31.570409865388616,1.8226867362818127,292
E2,e2_floor=1.25,59.01447294137731,1.374649704833931,36.32921480322086,1.6244356851925474,298
E2,e2_floor=1.75,51.93695068302671,1.250697562652823,36.98620037970599,1.4042250934087315,268
E5,cap_q=0.85,53.47107949120284,1.2590949510636615,38.79746768061987,1.3782105556830646,212
E5,cap_q=0.95,56.56521933876451,1.3141910957120908,42.049084554346805,1.345218806503532,198
E5,cap_lb=50,57.02106419910764,1.3233929555266675,39.98257315721929,1.4261479363744218,203
E5,cap_lb=200,58.416209755623846,1.3419584622037843,40.406669087586735,1.445707133864439,203
E5,cap_q=0.85,57.117648566229406,1.308873711912297,37.77615926648043,1.5120025348080075,203
E5,cap_q=0.95,58.9317384742857,1.343346768197536,40.822246656684534,1.4436182057764277,190
E5,cap_lb=50,59.10576097935512,1.3479150480045219,41.030835711269184,1.4405205244971802,195
E5,cap_lb=200,62.61605621619897,1.3978525214121023,38.83316459379821,1.6124376385796528,194
