branch_id,slow_period,fold,cagr,mdd,sharpe,sortino,mar,ulcer_index,n_days,trade_count,win_rate,profit_factor,avg_holding_bars,total_cost,skew,tail_ratio,exposure,mean_MFE_R,median_MFE_R,mean_realized_R,median_realized_R,mean_giveback_R,median_giveback_R,mean_giveback_ratio,median_giveback_ratio,pct_MFE1_loss,pct_MFE1_retained_low,pct_MFE2_retained_low,mean_time_peak_to_exit,exit_reason_mix,top5_pnl_pct,top10_pnl_pct,top10_mean_size,n_partials,partial_frac_of_trades
E0,120,13,-10.271238680420879,12.925514360633382,-0.30510515311701203,-0.21116606265065807,-0.7946483516124896,6.944748020338383,182,15,46.67,0.7492,29.6,7321.04,-0.2401,0.7963,0.4044,3.2541,3.2087,-0.1336,-0.0263,3.3877,3.4347,2.9194,1.0077,46.15,76.92,80.0,38.4,"{'trail_stop': 11, 'ema_cross_down': 4}",112.49,170.38,3730.702,0,0.0
E0,120,14,105.78872952396665,13.698593621680788,2.1809013943032953,2.225553212516774,7.72259784073999,5.676748380861025,183,14,50.0,3.8533,44.0,7342.86,3.0238,3.5963,0.558,6.451,3.7906,2.3528,0.0873,4.0981,4.1812,1.5833,0.9789,41.67,66.67,55.56,48.57,"{'trail_stop': 11, 'ema_cross_down': 3}",80.67,96.54,20305.1437,0,0.0
E0,120,15,82.69701320024114,14.29667040503535,1.8643501609608375,1.7460505803807629,5.784354738367256,7.147094791987168,181,14,42.86,2.1079,37.6,8327.16,3.0346,3.4984,0.4826,5.9658,3.2347,1.6451,-0.5817,4.3207,4.7848,6.6167,1.3605,45.45,72.73,62.5,49.43,"{'trail_stop': 12, 'ema_cross_down': 2}",119.29,142.76,20305.1437,0,0.0
E0,120,16,16.03517456666268,13.894104991948808,0.7083557896026094,0.5802850566390562,1.1540991359972126,7.628533730793398,180,11,36.36,1.5221,40.2,7853.45,1.4796,2.729,0.407,4.93,3.3103,0.8167,-0.7515,4.1133,4.2699,7.6867,1.2934,60.0,80.0,71.43,47.27,"{'trail_stop': 10, 'ema_cross_down': 1}",149.5,261.35,15554.2289,0,0.0
E0,120,17,44.77532834329359,11.836674295228612,1.628100104697345,1.6304756932624977,3.782762558681083,6.463918586588376,182,12,50.0,2.3796,52.1,9044.62,1.2478,3.6536,0.5692,6.0869,3.5091,1.6207,0.0985,4.4663,4.3214,1.5387,1.0937,45.45,72.73,62.5,57.67,"{'trail_stop': 11, 'ema_cross_down': 1}",69.06,120.73,15554.2289,0,0.0
E0,120,18,-10.068427747849052,13.899028107266531,-0.549995210966076,-0.30166484196799714,-0.7243979701418973,9.297340765869235,183,10,40.0,0.6032,35.5,7544.96,0.9289,1.0073,0.3216,4.4812,2.2514,-0.3969,-1.251,4.8781,4.9776,2.5592,2.1585,42.86,71.43,60.0,51.2,"{'trail_stop': 9, 'ema_cross_down': 1}",96.22,96.22,10591.2468,0,0.0
E0,120,19,-24.921989520132026,15.421174663941184,-1.7133078192848452,-0.7952410004560289,-1.6160889208009737,12.868487914146664,141,8,50.0,0.4143,20.8,5770.52,0.0128,0.6285,0.1937,3.081,1.1742,-1.4838,-0.5481,4.5648,5.4566,6.6128,1.9386,20.0,40.0,33.33,36.5,"{'trail_stop': 6, 'ema_cross_down': 2}",35.27,35.27,5293.0353,0,0.0
E1,120,0,29.47216177190444,37.74885243169101,0.7169358211714476,0.6092513103342413,0.7807432510759424,23.847534918685206,180,21,42.86,1.1638,25.8,7338.43,0.4762,1.4395,0.4991,3.5093,2.249,0.3324,-0.9115,3.1769,2.9447,7.2808,1.5582,40.0,53.33,46.15,34.1,"{'trail_stop': 19, 'ema_cross_down': 2}",283.83,390.03,12868.3913,0,0.0
E1,120,1,-24.97532632347369,31.65753536968603,-0.505360125039498,-0.3235925993268349,-0.7889220064613447,23.365918101705372,182,18,38.89,0.7813,20.7,6126.91,-0.5426,0.5891,0.3388,3.2454,2.5374,-0.1854,-0.1415,3.4307,2.9186,7.6214,1.0509,53.33,60.0,53.85,28.22,{'trail_stop': 18},78.61,149.2,5632.3522,0,0.0
E1,120,2,109.3457633342179,10.695174313043887,2.0273172327738176,1.8033291239526332,10.223841158050064,6.0466826575860795,183,19,47.37,2.2138,22.4,6977.13,0.3814,1.4545,0.3859,3.9037,2.6893,0.8985,-0.0112,3.0052,2.7584,2.2006,1.0047,47.06,52.94,42.86,28.42,{'trail_stop': 19},42.01,70.94,8941.0502,0,0.0
