window_id,test_start,test_end,trades,score,cagr_pct,max_drawdown_mid_pct,sharpe,entry_checks,entry_signals_emitted,blocked_total,blocked_ratio,gate_overlay_cooldown,gate_regime_off,gate_entry_cooldown,gate_exit_cooldown,gate_vdo_threshold,gate_trend_filter,gate_min_target_to_add,gate_size_floor,gate_unknown
0,2022-01-01,2022-07-01,0,-1000000.0,0.0,0.0,0.0,3282,101,3181,0.9692260816575259,0,1560,197,0,1398,26,0,0,0
1,2022-07-01,2023-01-01,0,-1000000.0,0.0,0.0,0.0,3300,70,3230,0.9787878787878788,0,2214,140,0,842,34,0,0,0
2,2023-01-01,2023-07-01,1,-1000000.0,19.14,16.8,0.8039,3281,14,3267,0.9957330082291984,0,2214,28,3,965,14,43,0,0
3,2023-07-01,2024-01-01,5,-1000000.0,35.02,19.58,1.2061,3295,72,3223,0.9781487101669196,0,912,143,15,2004,63,86,0,0
4,2024-01-01,2024-07-01,7,-1000000.0,3.27,34.19,0.2768,3281,156,3125,0.952453520268211,0,204,312,21,2393,123,72,0,0
5,2024-07-01,2025-01-01,9,-1000000.0,64.3,27.62,1.5246,3291,181,3110,0.945001519295047,0,815,358,24,1756,128,29,0,0
6,2025-01-01,2025-07-01,7,-1000000.0,-33.89,36.4,-0.8374,3275,182,3093,0.9444274809160306,0,629,360,18,1851,142,93,0,0
7,2025-07-01,2026-01-01,3,-1000000.0,-19.0,19.55,-0.6277,3297,163,3134,0.9505611161662118,0,875,322,6,1613,186,132,0,0
