label,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,calmar,profit_factor,win_rate_pct,trades,avg_trade_pnl,fees_total,fee_drag_pct_per_year,turnover_per_year,avg_exposure,time_in_market_pct,total_return_pct,initial_cash,final_nav_mid
candidate,smart,53.9482,28.49,52.64,0.8904,0.8662,0.5412,1.4368,60.27,73,696.28,1925.51,0.66,18.75,0.4802,59.3,498.75,10000.0,59874.53
candidate,base,47.8315,26.44,53.54,0.8445,0.8227,0.4938,1.4199,57.53,73,629.11,5125.03,1.87,18.73,0.4802,59.29,433.87,10000.0,53386.75
candidate,harsh,41.4457,24.31,54.47,0.7959,0.7767,0.4463,1.3971,57.53,73,559.27,7139.0,2.81,18.7,0.4802,59.29,372.9,10000.0,47290.47
baseline,smart,114.9068,45.88,35.09,1.3726,1.3225,1.3075,2.056,50.52,97,1446.04,4190.75,0.86,24.7,0.4021,53.51,1381.95,10000.0,148195.49
baseline,base,106.1535,42.97,36.25,1.307,1.2628,1.1854,2.0045,50.52,97,1275.21,10857.19,2.46,24.56,0.4028,53.53,1183.31,10000.0,128331.0
baseline,harsh,91.0416,37.45,35.9,1.1872,1.1423,1.0433,1.8918,50.0,98,954.32,13380.36,3.7,24.65,0.4012,53.43,869.09,10000.0,96908.67
