label,regime,total_return_pct,max_dd_pct,n_bars,n_days,sharpe,notes
candidate,SHOCK,-16.52,49.1,534,89.0,-1.2142,
candidate,BEAR,0.78,22.93,3966,661.0,0.8486,
candidate,CHOP,-17.6,51.74,1290,215.0,-0.6476,
candidate,TOPPING,-21.9,37.05,612,102.0,-2.78,
candidate,BULL,666.61,54.47,7266,1211.0,1.6612,
candidate,NEUTRAL,13.93,33.17,1980,330.0,0.5953,
baseline,SHOCK,-23.27,29.61,534,89.0,-2.1657,
baseline,BEAR,0.78,18.82,3966,661.0,0.8486,
baseline,CHOP,2.05,32.23,1290,215.0,0.273,
baseline,TOPPING,-24.08,28.61,612,102.0,-3.644,
baseline,BULL,1301.44,35.61,7266,1211.0,2.2403,
baseline,NEUTRAL,15.41,23.89,1980,330.0,0.934,
