candidate_trade_id,baseline_trade_id,entry_time,cand_exit_time,base_exit_time,cand_pnl,base_pnl,delta_pnl,cand_return_pct,base_return_pct
1,1,1680163200000,1681718400000,1681718400000,438.264445,438.264445,0.0,4.773479,4.773479
2,2,1681819200000,1681948800000,1681948800000,-312.521944,-312.521944,0.0,-5.400927,-5.400927
3,3,1682179200000,1682956800000,1682956800000,125.303241,125.303241,0.0,1.66211,1.66211
4,4,1683187200000,1686801600000,1686801600000,-997.518867,-997.518867,0.0,-9.947647,-9.947647
5,5,1687233600000,1688803200000,1688803200000,584.257637,584.257637,0.0,6.788777,6.788777
6,6,1688918400000,1690200000000,1690200000000,-438.160928,-438.160928,0.0,-4.472907,-4.472907
7,7,1690560000000,1692288000000,1692288000000,-462.527918,-462.527918,0.0,-5.062707,-5.062707
8,8,1692460800000,1693512000000,1693512000000,-24.704784,-24.704784,0.0,-0.12988,-0.12988
9,9,1696219200000,1699963200000,1699963200000,2067.748539,2067.748539,0.0,24.503658,24.503658
10,10,1700064000000,1702324800000,1702324800000,972.894154,972.894154,0.0,9.547191,9.547191
11,11,1702483200000,1705118400000,1705118400000,38.849348,38.849348,0.0,0.480971,0.480971
12,12,1705420800000,1705953600000,1705953600000,-342.563292,-342.563292,0.0,-8.11908,-8.11908
13,13,1706126400000,1708732800000,1708732800000,2512.223468,2512.223468,0.0,23.236744,23.236744
14,14,1708833600000,1709668800000,1709668800000,1613.326113,1613.326113,0.0,12.825613,12.825613
15,15,1710806400000,1712044800000,1712044800000,-236.296508,-236.296508,0.0,-1.439799,-1.439799
16,16,1712246400000,1713052800000,1713052800000,-1208.028094,-1208.028094,0.0,-8.154933,-8.154933
17,17,1713312000000,1714147200000,1714147200000,31.575887,31.575887,0.0,0.386941,0.386941
18,18,1714449600000,1716494400000,1716494400000,1003.150748,1003.150748,0.0,7.511081,7.511081
19,19,1716825600000,1718107200000,1718107200000,-534.518749,-534.518749,0.0,-4.011955,-4.011955
20,20,1718280000000,1718740800000,1718740800000,-449.20769,-449.20769,0.0,-4.367541,-4.367541
21,21,1719043200000,1719230400000,1719230400000,-576.214093,-576.214093,0.0,-4.9798,-4.9798
22,22,1719446400000,1720065600000,1720065600000,-455.927287,-455.927287,0.0,-3.556614,-3.556614
23,23,1720281600000,1720411200000,1720411200000,-431.436474,-431.436474,0.0,-4.136764,-4.136764
24,24,1721145600000,1722369600000,1722369600000,-83.954676,-83.954676,0.0,-0.545968,-0.545968
25,25,1722916800000,1724025600000,1724025600000,259.419158,259.419158,0.0,2.33578,2.33578
26,26,1724126400000,1724774400000,1724774400000,142.756146,142.756146,0.0,1.489588,1.489588
27,27,1725062400000,1727712000000,1727712000000,511.964657,511.964657,0.0,4.336804,4.336804
28,28,1728028800000,1729684800000,1729684800000,790.937014,790.937014,0.0,6.222257,6.222257
29,29,1729800000000,1730448000000,1730448000000,274.867345,274.867345,0.0,2.191045,2.191045
30,30,1730692800000,1732464000000,1732464000000,4867.18191,4867.18191,0.0,36.080059,36.080059
31,31,1732723200000,1733774400000,1733774400000,109.776564,109.776564,0.0,0.763097,0.763097
32,32,1733932800000,1734566400000,1734566400000,-296.925258,-296.925258,0.0,-1.447035,-1.447035
33,33,1734825600000,1736280000000,1736280000000,51.805438,51.805438,0.0,0.431312,0.431312
34,34,1736539200000,1737633600000,1737633600000,1068.317728,1068.317728,0.0,6.016748,6.016748
35,35,1737734400000,1738526400000,1738526400000,-1314.155913,-1314.155913,0.0,-6.700265,-6.700265
36,36,1738699200000,1740470400000,1740470400000,-1612.241845,-1612.241845,0.0,-8.962153,-8.962153
37,37,1740686400000,1741075200000,1741075200000,-425.496006,-425.496006,0.0,-2.477606,-2.477606
38,38,1741176000000,1741320000000,1741320000000,-608.722579,-608.722579,0.0,-3.965516,-3.965516
39,39,1743264000000,1743926400000,1743926400000,34.242807,34.242807,0.0,0.45712,0.45712
40,40,1745208000000,1746403200000,1746403200000,1014.70974,1014.70974,0.0,6.712441,6.712441
41,41,1746561600000,1748174400000,1748174400000,1825.021196,1825.021196,0.0,11.103106,11.103106
42,42,1748880000000,1752566400000,1752566400000,2009.001834,2009.001834,0.0,10.891886,10.891886
43,43,1753084800000,1754078400000,1754078400000,-987.535134,-987.535134,0.0,-4.777157,-4.777157
44,44,1754251200000,1755273600000,1755273600000,153.74656,153.74656,0.0,0.933335,0.933335
45,45,1755734400000,1756152000000,1756152000000,-607.653529,-607.653529,0.0,-2.920724,-2.920724
46,46,1756324800000,1758427200000,1758427200000,718.690169,718.690169,0.0,3.952769,3.952769
47,47,1758715200000,1760112000000,1760112000000,1384.850523,1384.850523,0.0,7.368038,7.368038
48,48,1760284800000,1760630400000,1760630400000,-897.931829,-897.931829,0.0,-5.152269,-5.152269
49,49,1760846400000,1761782400000,1761782400000,60.473642,60.473642,0.0,0.461013,0.461013
50,50,1762372800000,1763064000000,1763064000000,-669.852652,-669.852652,0.0,-4.965806,-4.965806
