label,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,calmar,profit_factor,win_rate_pct,trades,avg_trade_pnl,fees_total,fee_drag_pct_per_year,turnover_per_year,avg_exposure,time_in_market_pct,total_return_pct,initial_cash,final_nav_mid
candidate,smart,59.3005,23.27,26.79,0.9535,0.8943,0.8688,1.9143,54.0,50,267.01,524.3,0.91,26.09,0.3989,50.71,130.91,10000.0,23090.85
candidate,base,51.7058,20.91,28.05,0.8761,0.8247,0.7453,1.8504,54.0,50,241.54,1431.84,2.59,25.85,0.4001,50.73,113.68,10000.0,21367.72
candidate,harsh,43.6631,18.44,29.36,0.7942,0.7495,0.6279,1.7651,54.0,50,213.83,2052.31,3.84,25.59,0.4,50.72,96.74,10000.0,19673.9
baseline,smart,59.3005,23.27,26.79,0.9535,0.8943,0.8688,1.9143,54.0,50,267.01,524.3,0.91,26.09,0.3989,50.71,130.91,10000.0,23090.85
baseline,base,51.7058,20.91,28.05,0.8761,0.8247,0.7453,1.8504,54.0,50,241.54,1431.84,2.59,25.85,0.4001,50.73,113.68,10000.0,21367.72
baseline,harsh,43.6631,18.44,29.36,0.7942,0.7495,0.6279,1.7651,54.0,50,213.83,2052.31,3.84,25.59,0.4,50.72,96.74,10000.0,19673.9
