label,scenario,trades,trades_per_year,turnover_per_year,avg_days_held,median_days_held,pct_held_lt_3d,pct_held_lt_7d,avg_reentry_days,median_reentry_days,pct_reentry_le_7d,avg_trade_return_pct,win_rate,churn_score
candidate,harsh,50,12.5,25.59,14.82,12.416667,0.08,0.18,19.418367,17.666667,0.102041,1.755358,0.54,319.875
baseline,harsh,50,12.5,25.59,14.82,12.416667,0.08,0.18,19.418367,17.666667,0.102041,1.755358,0.54,319.875
