label,trade_id,entry_time,exit_time,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason,regime
candidate,1,1680163200000,1681718400000,28450.395487,29808.46916,0.33369687,438.264445,4.773479,18.0,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,2,1681819200000,1681948800000,30410.773657,28768.310099,0.18540518,-312.521944,-5.400927,1.5,vdo_trend_accel,emergency_dd,AnalyticalRegime.BULL
candidate,3,1682179200000,1682956800000,27682.364953,28142.476403,0.29984188,125.303241,1.66211,9.0,vdo_dip_buy,trailing_stop,AnalyticalRegime.BULL
candidate,4,1683187200000,1686801600000,27806.370604,25040.290916,0.35579419,-997.518867,-9.947647,41.833333,vdo_trend,emergency_dd,AnalyticalRegime.CHOP
candidate,5,1687233600000,1688803200000,28245.640597,30163.174188,0.31205529,584.257637,6.788777,18.166667,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,6,1688918400000,1690200000000,30609.87877,29240.727327,0.31008991,-438.160928,-4.472907,14.833333,vdo_trend_accel,emergency_dd,AnalyticalRegime.BULL
candidate,7,1690560000000,1692288000000,29394.237102,27906.092964,0.30230518,-462.527918,-5.062707,20.0,vdo_trend_accel,emergency_dd,AnalyticalRegime.TOPPING
candidate,8,1692460800000,1693512000000,26170.624153,26136.633751,0.33751848,-24.704784,-0.12988,12.166667,vdo_dip_buy,trailing_stop,AnalyticalRegime.NEUTRAL
candidate,9,1696219200000,1699963200000,29093.859936,36222.919895,0.29227261,2067.748539,24.503658,43.333333,vdo_trend_accel,trailing_stop,AnalyticalRegime.NEUTRAL
candidate,10,1700064000000,1702324800000,37188.740182,40739.220205,0.27881647,972.894154,9.547191,26.166667,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,11,1702483200000,1705118400000,42363.584212,42567.340712,0.2776828,38.849348,0.480971,30.5,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,12,1705420800000,1705953600000,43295.713263,39780.499645,0.095825,-342.563292,-8.11908,6.166667,vdo_trend_accel,emergency_dd,AnalyticalRegime.CHOP
candidate,13,1706126400000,1708732800000,41134.986821,50693.418536,0.26493564,2512.223468,23.236744,30.166667,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,14,1708833600000,1709668800000,54375.582707,61349.584373,0.2344277,1613.326113,12.825613,9.666667,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,15,1710806400000,1712044800000,67358.893718,66389.061114,0.22095842,-236.296508,-1.439799,14.333333,vdo_trend,trailing_stop,AnalyticalRegime.SHOCK
candidate,16,1712246400000,1713052800000,69530.801478,63860.611461,0.20950955,-1208.028094,-8.154933,9.333333,vdo_trend_accel,emergency_dd,AnalyticalRegime.BULL
candidate,17,1713312000000,1714147200000,63195.204597,63439.732656,0.21139594,31.575887,0.386941,9.666667,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,18,1714449600000,1716494400000,62442.676717,67132.79682,0.21857894,1003.150748,7.511081,23.666667,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,19,1716825600000,1718107200000,69616.093354,66823.126723,0.18474993,-534.518749,-4.011955,14.833333,vdo_trend_accel,emergency_dd,AnalyticalRegime.BULL
candidate,20,1718280000000,1718740800000,67286.551767,64347.783923,0.14799501,-449.20769,-4.367541,5.333333,vdo_trend,emergency_dd,AnalyticalRegime.TOPPING
candidate,21,1719043200000,1719230400000,64439.63836,61230.673373,0.17456743,-576.214093,-4.9798,2.166667,vdo_trend_accel,emergency_dd,AnalyticalRegime.BULL
candidate,22,1719446400000,1720065600000,61220.282173,59042.912776,0.20120945,-455.927287,-3.556614,7.166667,vdo_trend,emergency_dd,AnalyticalRegime.BULL
candidate,23,1720281600000,1720411200000,57482.780971,55104.85379,0.17533902,-431.436474,-4.136764,1.5,vdo_trend_accel,emergency_dd,AnalyticalRegime.NEUTRAL
candidate,24,1721145600000,1722369600000,66226.691988,65865.115453,0.18236181,-83.954676,-0.545968,14.166667,vdo_trend,trailing_stop,AnalyticalRegime.BULL
candidate,25,1722916800000,1724025600000,57036.68556,58368.937257,0.20841931,259.419158,2.33578,12.833333,vdo_trend_accel,trailing_stop,AnalyticalRegime.NEUTRAL
candidate,26,1724126400000,1724774400000,60742.621679,61647.436297,0.17573373,142.756146,1.489588,7.5,vdo_trend_accel,trailing_stop,AnalyticalRegime.NEUTRAL
candidate,27,1725062400000,1727712000000,60858.558287,63497.87447,0.20123848,511.964657,4.336804,30.666667,vdo_trend,trailing_stop,AnalyticalRegime.CHOP
candidate,28,1728028800000,1729684800000,62461.111806,66347.602604,0.20885751,790.937014,6.222257,19.166667,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,29,1729800000000,1730448000000,67720.653735,69204.443618,0.19918166,274.867345,2.191045,7.5,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,30,1730692800000,1732464000000,70403.880624,95805.642455,0.19269822,4867.18191,36.080059,20.5,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,31,1732723200000,1733774400000,96238.88807,96973.283938,0.18639814,109.776564,0.763097,12.166667,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
