candidate_trade_id,baseline_trade_id,side,candidate_entry_ts,baseline_entry_ts,candidate_exit_ts,baseline_exit_ts,entry_ts_delta_ms,entry_ts_delta_bars,candidate_return_pct,baseline_return_pct,delta_return_pct,candidate_pnl_usd,baseline_pnl_usd,delta_pnl,candidate_fees_usd,baseline_fees_usd,delta_fees_usd,candidate_entry_reason,baseline_entry_reason,candidate_exit_reason,baseline_exit_reason,candidate_max_exposure_during_trade,baseline_max_exposure_during_trade,candidate_exposure_at_entry,baseline_exposure_at_entry,candidate_exposure_at_exit,baseline_exposure_at_exit,candidate_win,baseline_win
1,1,long,2019-04-10T20:00:00Z,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,2019-04-28T04:00:00Z,0,0.0,2.079854,2.079854,0.0,82.828736,82.828736,0.0,13.030874,13.030874,0.0,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.447329,0.447329,0.084012,0.084012,0.0,0.0,1,1
2,2,long,2019-04-29T00:00:00Z,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,2019-05-17T04:00:00Z,0,0.0,32.955161,32.955161,0.0,2986.132394,2986.132394,0.0,31.855571,31.855571,0.0,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.935599,0.935599,0.079364,0.079364,0.0,0.0,1,1
3,3,long,2019-05-19T04:00:00Z,2019-05-19T04:00:00Z,2019-05-23T00:00:00Z,2019-05-23T00:00:00Z,0,0.0,-3.837558,-3.837558,0.0,-468.835039,-468.835039,0.0,34.645561,34.645561,0.0,vdo_trend_accel,vdo_trend_accel,emergency_dd,emergency_dd,0.904021,0.904021,0.350399,0.350399,0.0,0.0,0,0
4,4,long,2019-05-25T08:00:00Z,2019-05-25T08:00:00Z,2019-06-04T00:00:00Z,2019-06-04T00:00:00Z,0,0.0,-1.919742,-1.919742,0.0,-183.307783,-183.307783,0.0,26.351284,26.351284,0.0,vdo_trend,vdo_trend,trailing_stop,trailing_stop,0.72274,0.72274,0.319883,0.319883,0.0,0.0,0,0
5,5,long,2019-06-06T04:00:00Z,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,2019-06-27T16:00:00Z,0,0.0,49.862815,49.862815,0.0,5899.956284,5899.956284,0.0,44.547899,44.547899,0.0,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.978518,0.978518,0.347683,0.347683,0.0,0.0,1,1
6,6,long,2019-07-03T04:00:00Z,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,2019-07-12T04:00:00Z,0,0.0,-2.300793,-2.300793,0.0,-337.134997,-337.134997,0.0,40.851246,40.851246,0.0,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.778169,0.778169,0.098803,0.098803,0.0,0.0,0,0
7,7,long,2019-07-18T08:00:00Z,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,2019-07-23T16:00:00Z,0,0.0,-5.915018,-5.915018,0.0,-671.37464,-671.37464,0.0,32.273928,32.273928,0.0,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.621807,0.621807,0.080129,0.080129,0.0,0.0,0,0
8,8,long,2019-07-25T04:00:00Z,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,2019-08-11T00:00:00Z,0,0.0,14.346491,14.346491,0.0,2297.754839,2297.754839,0.0,52.118169,52.118169,0.0,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.953824,0.953824,0.228511,0.228511,0.0,0.0,1,1
9,9,long,2019-08-16T16:00:00Z,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,2019-08-21T16:00:00Z,0,0.0,-3.448121,-3.448121,0.0,-664.575565,-664.575565,0.0,54.53331,54.53331,0.0,vdo_trend_accel,vdo_trend_accel,emergency_dd,emergency_dd,0.953584,0.953584,0.351679,0.351679,0.0,0.0,0,0
10,10,long,2019-08-23T16:00:00Z,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,2019-08-28T20:00:00Z,0,0.0,-5.804519,-5.804519,0.0,-945.887627,-945.887627,0.0,46.340287,46.340287,0.0,vdo_trend_accel,vdo_trend_accel,emergency_dd,emergency_dd,0.840279,0.840279,0.35044,0.35044,0.0,0.0,0,0
