bucket,timeframe,feature_name,feature_key,param,family,tail,calibration_mode,threshold_param,sharpe_daily,cagr,max_drawdown,trade_count,exposure,net_return,mean_hold_bars,median_hold_bars,positive_fold_share,min_fold_cagr,thresholds_json,feature_key_str,param_str,formula,config_id
native_d1,D1,ret,"('ret', 3)",3,directional_persistence,upper,fixed_zero,None,0.5347625116546939,0.15285375514088462,-0.6510432267172284,157,0.531934306569343,0.5323745753165463,3.713375796178344,3.0,0.5,-0.49744918181316744,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('ret', 3)",3,close / close.shift(L) - 1,1
native_d1,D1,ret,"('ret', 3)",3,directional_persistence,lower,fixed_zero,None,0.17449596028911635,-0.07176829724378608,-0.6376061935266144,158,0.46806569343065696,-0.2002632497099084,3.2468354430379747,3.0,0.5,-0.7070729183173796,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('ret', 3)",3,close / close.shift(L) - 1,2
native_d1,D1,ret,"('ret', 3)",3,directional_persistence,upper,train_quantile,0.2,0.40711064353699417,0.05061705986375209,-0.7007692724814452,84,0.8093065693430657,0.15970631926844758,10.55952380952381,7.0,0.3333333333333333,-0.469981884494466,"[-0.043433126910538127, -0.040979912390953555, -0.038067508960026086, -0.04055289545603524, -0.040582267040164786, -0.04140439164120746]","('ret', 3)",3,close / close.shift(L) - 1,3
native_d1,D1,ret,"('ret', 3)",3,directional_persistence,upper,train_quantile,0.35,0.10333642484826897,-0.10296669737719966,-0.7729512892093893,138,0.6578467153284672,-0.27823902042004933,5.22463768115942,4.0,0.16666666666666666,-0.6114963108211494,"[-0.01753787245464704, -0.016080791848405523, -0.011518024595045242, -0.013069241300733836, -0.014093461799856592, -0.016004300648998326]","('ret', 3)",3,close / close.shift(L) - 1,4
native_d1,D1,ret,"('ret', 3)",3,directional_persistence,upper,train_quantile,0.5,0.5238979602553363,0.14648603005332816,-0.6322862741101913,157,0.5009124087591241,0.50711689146208,3.4968152866242037,3.0,0.5,-0.5648104183707332,"[0.00238164158074905, 0.0036212689485632943, 0.005213935672342518, 0.005441421950332481, 0.004754897821606097, 0.0037647621171692514]","('ret', 3)",3,close / close.shift(L) - 1,5
native_d1,D1,ret,"('ret', 3)",3,directional_persistence,upper,train_quantile,0.65,0.5828961851054796,0.16766391580042583,-0.6175238588164949,142,0.34397810218978103,0.59220746197661,2.6549295774647885,2.0,0.5,-0.5564214318839728,"[0.02180733983300633, 0.023484816444282186, 0.024946878423439334, 0.026257200142946857, 0.026582619360529917, 0.02494256562244307]","('ret', 3)",3,close / close.shift(L) - 1,6
native_d1,D1,ret,"('ret', 3)",3,directional_persistence,upper,train_quantile,0.8,0.4273870744919926,0.08057112242465392,-0.30146092602745256,91,0.1760948905109489,0.26177845006794165,2.120879120879121,2.0,0.6666666666666666,-0.33401053684392756,"[0.05415795862246025, 0.054375264121707234, 0.053899748690546416, 0.0555243512264485, 0.05524542003354155, 0.053862417501151505]","('ret', 3)",3,close / close.shift(L) - 1,7
native_d1,D1,ret,"('ret', 3)",3,directional_persistence,lower,train_quantile,0.2,0.49530326156450016,0.12426914834691938,-0.5135118690965459,83,0.1906934306569343,0.4211689101975209,2.5180722891566263,2.0,0.8333333333333334,-0.709801531635885,"[-0.043433126910538127, -0.040979912390953555, -0.038067508960026086, -0.04055289545603524, -0.040582267040164786, -0.04140439164120746]","('ret', 3)",3,close / close.shift(L) - 1,8
native_d1,D1,ret,"('ret', 3)",3,directional_persistence,lower,train_quantile,0.35,0.6628355980090544,0.22510563870802014,-0.5333988565613572,137,0.34215328467153283,0.8389967757091723,2.7372262773722627,2.0,0.6666666666666666,-0.6241721810180769,"[-0.01753787245464704, -0.016080791848405523, -0.011518024595045242, -0.013069241300733836, -0.014093461799856592, -0.016004300648998326]","('ret', 3)",3,close / close.shift(L) - 1,9
native_d1,D1,ret,"('ret', 3)",3,directional_persistence,lower,train_quantile,0.5,0.18788418130848672,-0.06671473844356013,-0.6218354726143287,158,0.4990875912408759,-0.18712699997444593,3.462025316455696,3.0,0.5,-0.6591653906071371,"[0.00238164158074905, 0.0036212689485632943, 0.005213935672342518, 0.005441421950332481, 0.004754897821606097, 0.0037647621171692514]","('ret', 3)",3,close / close.shift(L) - 1,10
