rank,window_start_ms,n_entries_blocked,n_trades,sharpe,delta_sharpe,cagr_native
1,1609329599999,1,188,1.209517,-0.070541,0.658221
2,1609343999999,1,188,1.209517,-0.070541,0.658221
3,1609358399999,1,188,1.209517,-0.070541,0.658221
4,1609372799999,1,188,1.209517,-0.070541,0.658221
5,1609387199999,1,188,1.209517,-0.070541,0.658221
6,1609401599999,1,188,1.209517,-0.070541,0.658221
7,1609415999999,1,188,1.209517,-0.070541,0.658221
8,1609430399999,1,188,1.209517,-0.070541,0.658221
9,1609444799999,1,188,1.209517,-0.070541,0.658221
10,1609459199999,1,188,1.209517,-0.070541,0.658221
11,1609473599999,1,188,1.209517,-0.070541,0.658221
12,1609487999999,1,188,1.209517,-0.070541,0.658221
13,1609502399999,1,188,1.209517,-0.070541,0.658221
14,1609516799999,1,188,1.209517,-0.070541,0.658221
15,1609531199999,1,188,1.209517,-0.070541,0.658221
16,1609545599999,1,188,1.209517,-0.070541,0.658221
17,1609559999999,1,188,1.209517,-0.070541,0.658221
18,1609574399999,1,188,1.209517,-0.070541,0.658221
19,1587614399999,1,188,1.213012,-0.067047,0.654712
20,1587599999999,1,188,1.216370,-0.063688,0.657689
