rank,type,n_trades,sharpe,cagr_native,skipped
1,worst,188,1.261019,0.707021,[2984]
2,worst,188,1.261019,0.707021,[2984]
3,worst,188,1.261019,0.707021,[2984]
4,worst,188,1.261019,0.707021,[2984]
5,worst,188,1.261019,0.707021,[2984]
6,worst,188,1.261019,0.707021,[2984]
7,worst,188,1.261019,0.707021,[2984]
8,worst,188,1.261019,0.707021,[2984]
9,worst,188,1.266171,0.714050,[15456]
10,worst,188,1.266171,0.714050,[15456]
11,worst,188,1.266171,0.714050,[15456]
12,worst,188,1.266171,0.714050,[15456]
13,worst,188,1.266171,0.714050,[15456]
14,worst,188,1.266171,0.714050,[15456]
15,worst,188,1.267399,0.714221,[2214]
16,worst,188,1.267399,0.714221,[2214]
17,worst,188,1.267399,0.714221,[2214]
18,worst,188,1.267399,0.714221,[2214]
19,worst,188,1.267399,0.714221,[2214]
20,worst,188,1.267399,0.714221,[2214]
1,best,187,1.291720,0.737489,[11274]
2,best,187,1.291720,0.737489,[11274]
3,best,187,1.291720,0.737489,[11274]
4,best,187,1.291720,0.737489,[11274]
5,best,187,1.291720,0.737489,[11274]
6,best,187,1.292130,0.738104,[4996]
7,best,187,1.292130,0.738104,[4996]
8,best,187,1.292130,0.738104,[4996]
9,best,187,1.292130,0.738104,[4996]
10,best,187,1.292130,0.738104,[4996]
11,best,187,1.292130,0.738104,[4996]
12,best,187,1.299237,0.744393,[10137]
13,best,187,1.299237,0.744393,[10137]
14,best,187,1.299237,0.744393,[10137]
15,best,187,1.299237,0.744393,[10137]
16,best,187,1.299237,0.744393,[10137]
17,best,187,1.299237,0.744393,[10137]
18,best,187,1.299237,0.744393,[10137]
19,best,187,1.299237,0.744393,[10137]
20,best,187,1.299237,0.744393,[10137]
